Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
New Zealand,Aruba,2017,Exports & Imports,13,6,0.34,0.14,753.56,822.23,68.67,0,0,5.17,4.54,12,50,33.33,16.67,0,10,0,0.19,1.03,0.76,5.17,4.54,12,50,33.33,16.67,0,10,0,0.19,1.03,0.76,
New Zealand,Afghanistan,2017,Exports & Imports,9,71,0.24,1.67,197.1,269.83,72.73,0,0,0.01,0,169,1.18,98.22,0.59,0,5,0,0,0,72.72,4.06,3.03,169,56.21,43.2,0.59,0,10,0,0,34.47,38.25,1
New Zealand,Anguila,2017,Exports & Imports,3,31,0.08,0.73,-105,2.24,107.24,0,0,3.65,1.09,57,50.88,45.61,0,3.51,10,0,0,31.14,76.1,3.65,1.09,57,50.88,45.61,0,3.51,10,0,0,31.14,76.1,1
New Zealand,Albania,2017,Exports & Imports,3,56,0.08,1.32,-185.96,150.19,336.14,0,0,7.93,5.73,113,73.45,26.55,0,0,10,0,0,277.57,58.33,7.96,5.78,113,74.34,25.66,0,0,10,0,0,277.57,58.33,1
New Zealand,Andorra,2017,Exports & Imports,,5,,0.12,,,5.2,0,,2.5,3.79,10,40,40,20,0,5,0,0.09,3.98,1.21,2.5,3.79,10,40,40,20,0,5,0,0.09,3.98,1.21,
New Zealand,United Arab Emirates,2017,Exports & Imports,641,793,16.78,18.62,-801749.85,620494.94,1422244.78,3.54,1.63,3.71,0.14,1550,60.9,38.58,0.52,0,10,0,54.63,46388.56,1374886.32,3.71,0.14,1550,60.9,38.58,0.52,0,10,0,54.63,46388.56,1374886.32,
New Zealand,Argentina,2017,Exports & Imports,160,247,4.19,5.8,-140001.55,16330.92,156332.47,0.39,0.04,2.64,1.03,589,49.24,49.07,1.36,0.34,10,0,4.25,26412.36,129172.04,2.74,1.04,589,51.1,47.2,1.36,0.34,10,0,4.25,26444.97,129139.44,1
New Zealand,Armenia,2017,Exports & Imports,9,29,0.24,0.68,11812.33,11888.25,75.92,0,0.03,7.88,7.68,50,84,14,2,0,10,0,0,67.48,8.43,7.88,7.68,50,84,14,2,0,10,0,0,67.48,8.43,
New Zealand,American Samoa,2017,Exports & Imports,638,81,16.7,1.9,14560,15469.43,909.43,0,0.04,2.83,0.86,164,54.88,45.12,0,0,10,0,0,286.98,622.35,2.83,0.86,164,54.88,45.12,0,0,10,0,0,286.98,622.35,
New Zealand,Antarctica,2017,Exports & Imports,54,3,1.41,0.07,186.74,186.89,0.15,0,0,0,0,3,0,100,0,0,0,0,0,0,0.15,0,0,3,0,100,0,0,0,0,0,0,0.15,
New Zealand,Antigua and Barbuda,2017,Exports & Imports,49,18,1.28,0.42,985.7,1032.36,46.66,0,0,2.02,4.34,68,36.76,58.82,4.41,0,10,0,0.24,42.71,3.95,2.06,4.34,68,39.71,55.88,4.41,0,10,0,0.24,42.71,3.95,1
New Zealand,Australia,2017,Exports & Imports,3000,3482,78.51,81.78,1341163.51,6252047.93,4910884.43,12.24,16.43,0,0,5555,0,100,0,0,0,0,0,62033.72,4704637.04,2.56,2.41,5555,47.78,51.61,0.5,0.11,200.68,0,29571.26,2699388.81,2067281.95,2
New Zealand,Austria,2017,Exports & Imports,206,1151,5.39,27.03,-151799.01,20666.82,172465.82,0.43,0.05,2.89,2.56,2168,53.32,45.57,1.01,0.09,10,0,1308.06,86216.09,63608.79,2.89,2.56,2168,53.32,45.57,1.01,0.09,10,0,1308.06,86216.09,63608.79,
New Zealand,Azerbaijan,2017,Exports & Imports,10,5,0.26,0.12,47109.98,47226.62,116.64,0,0.12,4.71,5,19,89.47,10.53,0,0,5,0,0,116.64,0,4.71,5,19,89.47,10.53,0,0,5,0,0,116.64,0,
New Zealand,Burundi,2017,Exports & Imports,,3,,0.07,,,13.17,0,,0,0,7,0,100,0,0,0,0,0,0,13.17,0.83,0,7,28.57,71.43,0,0,5,0,0,0.02,13.15,1
New Zealand,Belgium,2017,Exports & Imports,367,1654,9.6,38.84,-112906.71,175748.67,288655.38,0.72,0.46,2.49,3.17,2776,48.85,50.29,0.72,0.14,10,0,1777.75,176319.16,106124.21,2.49,3.17,2776,48.85,50.29,0.72,0.14,10,0,1777.75,176319.16,106124.21,
New Zealand,Benin,2017,Exports & Imports,3,1,0.08,0.02,839.66,840.54,0.88,0,0,0,0,1,0,100,0,0,0,0,0,0,0.88,0,0,1,0,100,0,0,0,0,0,0,0.88,1
New Zealand,Burkina Faso,2017,Exports & Imports,9,3,0.24,0.07,863.46,863.57,0.11,0,0,0,0,13,0,100,0,0,0,0,0,0,0.11,3.98,4.76,13,76.92,23.08,0,0,10,0,0,0.08,0.03,1
New Zealand,Bangladesh,2017,Exports & Imports,58,341,1.52,8.01,142744.03,219613,76868.98,0.19,0.58,0.02,0,642,0.62,99.38,0,0,5,0,0,22.85,76840.11,6.44,9.37,642,73.21,26.79,0,0,10,0,0,74346.87,2516.09,1
New Zealand,Bulgaria,2017,Exports & Imports,41,466,1.07,10.94,-13717.26,8572.62,22289.88,0.06,0.02,4.73,2.34,947,59.87,38.33,1.58,0.21,200.68,0,44.31,14773.02,7516.72,4.81,2.36,947,61.99,36.22,1.58,0.21,200.68,0,44.31,14827.58,7462.17,1
New Zealand,Bahrain,2017,Exports & Imports,115,17,3.01,0.4,23233.17,26954.32,3721.15,0.01,0.07,3.13,3.28,27,59.26,40.74,0,0,10,0,0,1024.8,536.45,3.13,3.28,27,59.26,40.74,0,0,10,0,0,1024.8,536.45,
New Zealand,"Bahamas, The",2017,Exports & Imports,27,7,0.71,0.16,1637.06,1667.14,30.08,0,0,3.1,1.78,14,35.71,64.29,0,0,5,0,0,10.93,19.15,3.1,1.78,14,35.71,64.29,0,0,5,0,0,10.93,19.15,
New Zealand,Bosnia and Herzegovina,2017,Exports & Imports,3,113,0.08,2.65,-1865.48,124.9,1990.38,0.01,0,4.99,2.61,227,62.11,36.56,1.32,0,10,0,0.42,807.54,1182.85,5.18,2.62,227,66.08,32.6,1.32,0,10,0,0.42,807.79,1182.59,1
New Zealand,Belarus,2017,Exports & Imports,9,63,0.24,1.48,-988.25,832.96,1821.21,0,0,3.12,1.87,175,44.57,54.29,0,1.14,10,0,0,1030.99,790.22,3.12,1.87,175,44.57,54.29,0,1.14,10,0,0,1030.99,790.22,
New Zealand,Belize,2017,Exports & Imports,5,25,0.13,0.59,133.59,588.84,455.26,0,0,2.46,0.68,104,44.23,53.85,1.92,0,10,0,2.16,64.37,390.88,2.48,0.68,104,46.15,51.92,1.92,0,10,0,2.16,64.37,390.88,1
New Zealand,Bermuda,2017,Exports & Imports,86,6,2.25,0.14,8443.32,8539.2,95.88,0,0.02,1.35,0.08,29,41.38,58.62,0,0,10,0,0,3.51,92.37,1.35,0.08,29,41.38,58.62,0,0,10,0,0,3.51,92.37,
New Zealand,Bolivia,2017,Exports & Imports,68,82,1.78,1.93,-2984.39,1722.23,4706.62,0.01,0,3.55,0.99,219,53.42,45.21,1.37,0,10,0,3.87,1802.47,2097.38,3.69,1.06,219,56.62,42.01,1.37,0,10,0,3.87,1802.47,2097.38,1
New Zealand,Brazil,2017,Exports & Imports,239,715,6.25,16.79,-68215.07,56483.31,124698.39,0.31,0.15,2.83,1.42,1491,51.71,47.28,1.01,0,10,0,289.22,39036.53,84897.98,2.94,1.47,1491,53.99,45,1.01,0,10,0,289.22,39180.94,84753.56,1
New Zealand,Barbados,2017,Exports & Imports,40,9,1.05,0.21,17580.75,18595.36,1014.61,0,0.05,1.44,0.25,48,20.83,75,0,4.17,5,0,0,105.8,908.81,1.44,0.25,48,20.83,75,0,4.17,5,0,0,105.8,908.81,
New Zealand,Brunei,2017,Exports & Imports,62,8,1.62,0.19,3830.96,3844.06,13.1,0,0.01,0,0,15,0,100,0,0,0,0,0,0,13.1,6.15,2.93,15,60,40,0,0,10,0,0,4.61,8.49,2
New Zealand,Bhutan,2017,Exports & Imports,7,2,0.18,0.05,983.7,983.72,0.01,0,0,0,0,3,0,100,0,0,0,0,0,0,0.01,1.25,2.13,3,33.33,66.67,0,0,5,0,0,0.01,0,1
New Zealand,Botswana,2017,Exports & Imports,8,9,0.21,0.21,28.78,30.57,1.79,0,0,4,6.44,15,73.33,26.67,0,0,10,0,0,1.67,0.12,4.03,6.46,15,73.33,26.67,0,0,10,0,0,1.67,0.12,1
New Zealand,Central African Republic,2017,Exports & Imports,,10,,0.23,,,251.43,0,,0.25,0,30,3.33,96.67,0,0,5,0,0,0.38,251.05,1.87,0.1,30,40,60,0,0,5,0,0,10.25,241.18,1
New Zealand,Canada,2017,Exports & Imports,897,1566,23.48,36.78,24741.13,480588.64,455847.52,1.14,1.26,0.2,0.07,2819,8.19,90.81,0.85,0.14,10,0,5139.4,35564.8,381718.41,2.98,1.8,2819,53.74,45.26,0.85,0.14,10,0,5139.4,178638.5,238644.71,1
New Zealand,Cocos (Keeling) Islands,2017,Exports & Imports,,28,,0.66,,,52.7,0,,2.53,1.95,61,47.54,52.46,0,0,10,0,0,49.06,3.64,2.66,2.02,61,50.82,49.18,0,0,10,0,0,49.07,3.64,1
New Zealand,Switzerland,2017,Exports & Imports,359,1633,9.4,38.35,-201470.66,69406.11,270876.77,0.68,0.18,2.74,1.48,2768,49.71,49.21,0.87,0.22,200.68,0,657.29,96346.25,169134,2.74,1.48,2768,49.71,49.21,0.87,0.22,200.68,0,657.29,96346.25,169134,
New Zealand,Chile,2017,Exports & Imports,497,252,13.01,5.92,44163.23,127592.44,83429.21,0.21,0.34,0,0,589,0,100,0,0,0,0,0,0,78920.7,2.69,2.19,589,49.41,49.58,0.68,0.34,10,0,40.73,44308.19,34612.52,2
New Zealand,China,2017,Exports & Imports,1203,3535,31.48,83.02,733682.1,8482093.07,7748410.97,19.31,22.29,0,0,5619,0,99.45,0.55,0,0,0,39340.83,39715.56,7456878.77,2.58,3.38,5619,48.18,51.24,0.55,0.04,200.68,0,39340.83,5130066.48,2366527.85,2
New Zealand,Cote d'Ivoire,2017,Exports & Imports,15,8,0.39,0.19,17987.66,17992.6,4.94,0,0.05,0.63,0.32,9,11.11,88.89,0,0,5,0,0,0.32,4.62,0.94,0.37,9,22.22,77.78,0,0,5,0,0,0.41,4.54,1
New Zealand,Cameroon,2017,Exports & Imports,9,71,0.24,1.67,11306.31,11944.13,637.82,0,0.03,3.51,2.15,162,53.7,45.68,0.62,0,10,0,0.82,110.07,47.04,3.51,2.15,162,53.7,45.68,0.62,0,10,0,0.82,110.07,47.04,1
